;question	answer	card_export_column__field_a	card_export_column__field_b	card_export_column__field_c	tags	c_Added	c_LatestReview	c_Due	c_Interval_in_Days	c_Ease	c_Reviews	c_Lapses	c_CardType	c_NoteType	c_Deck	c_NoteID	c_CardID	allrevs
;問題	答案
/j:\JERRY\Anki\060-Anki\成語典\
#成語 教育部 中文
一毛不拔	一根毫毛也不願意拔取。比喻自私自利，不肯貢獻出些微的力量。語本《孟子．盡心上》。後亦用「一毛不拔」形容人非常吝嗇。  △「愛財如命」、「摩頂放踵」
掩耳盜鈴	「掩耳盜鈴」之「鈴」，典源作「鍾」。「鍾」同「鐘」。小偷盜鐘時，怕鐘所發出的聲音會引他人前來搶奪，因而急忙掩住自己的耳朵。典出《呂氏春秋．不苟論．自知》。後用「掩耳盜鈴」比喻妄想瞞騙他人，結果卻只是欺騙自己而已。 △「自欺欺人」。
一丘之貉	貉，音ㄏㄜˊ，一種形似狐狸的野獸。「一丘之貉」指出自同一山丘上的貉。比喻彼此同樣低劣，並無差異。語出《漢書．卷六六．公孫劉田王楊蔡陳鄭傳．楊敞》。
囫圇吞棗	「囫圇吞棗」之「囫圇」，典源作「渾崙」。「渾崙」同「囫圇」。囫圇，整個。「囫圇吞棗」指吃棗子時不加咀嚼，把整個都吞下去。＃語本《佛果圜悟禪師碧巖錄．卷三．趙州大蘿蔔頭》。後用「囫圇吞棗」比喻理解事物籠統含糊，或為學不求甚解。 △「生吞活剝」
班門弄斧	班，魯班，古代巧匠。「班門弄斧」指在巧匠魯班門前玩弄大斧。比喻在行家面前賣弄本事，不自量力。 ＃語本唐．柳宗元〈王氏伯仲唱和詩序〉。
朝三暮四	餵養猴子時，早晨給三升橡樹果實，晚上給四升，但亦可改變為「朝四暮三」。本為養猴人詐騙猴子的故事。典出《莊子．齊物論》。原用以比喻只變名目，不改實質。後用「朝三暮四」比喻人心意不定、反覆無常。亦可用於比喻事物變化無定。 △「反覆無常」、「出爾反爾」、「朝秦暮楚」
水落石出	冬季水位下降，使石頭顯露出來。形容水枯季節的自然景色。※語或出宋．歐陽修〈醉翁亭記〉。後用「水落石出」比喻事情經過澄清而後真相大白。 △「水清石見」
名落孫山	孫山，宋朝人，應試考中最後一名。「名落孫山」，名落於孫山之後，指參加考試或選拔沒有被錄取。 ＃典出宋．范公偁《過庭錄》。
胸有成竹	指畫竹之前，心中早已有了竹子的完整形象。＃語本宋．蘇軾〈文與可畫篔簹（ㄩㄣˊ　ㄉㄤ）谷偃竹記〉。後用「胸有成竹」比喻處事有定見。
竭澤而漁	澤，水流匯聚的地方。「竭澤而漁」指排盡澤水捕魚。比喻取盡所有，不留餘地。＃語出《呂氏春秋．孝行覽．義賞》。 △「殺雞取卵」
指鹿為馬	將鹿指稱是馬，藉以展現自己的威權。比喻人刻意顛倒是非。＃典出漢．陸賈《新語．辨惑》。
天衣無縫	古代傳說天神的衣服，不用針線縫製，故沒有縫痕。＃典出《神異經》。後用「天衣無縫」比喻詩文渾然天成，沒有斧鑿痕跡；亦用於比喻事物或計畫周密完美，沒有一絲破綻或缺點。
舉一反三	反，推論。「舉一反三」指從一件事情類推，而知道其他同類的事情。語本《論語．述而》。後用「舉一反三」形容人於學習中善於觸類旁通。 △「聞一知十」
